<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:00:00	21268.03	21320.00	21253.50	21299.75	4338	0	95
2025.01.02	00:15:00	21299.75	21310.78	21286.25	21297.50	2316	0	95
2025.01.02	00:30:00	21297.50	21304.50	21250.25	21259.00	3719	0	95
2025.01.02	00:45:00	21258.75	21268.78	21243.75	21266.25	2626	0	95
2025.01.02	01:00:00	21266.50	21267.00	21201.50	21211.25	5517	0	95
2025.01.02	01:15:00	21211.50	21217.40	21121.00	21143.50	8237	0	95
2025.01.02	01:30:00	21143.50	21217.50	21133.00	21216.90	5607	0	95
2025.01.02	01:45:00	21217.00	21247.75	21214.25	21230.50	5236	0	95
2025.01.02	02:00:00	21230.75	21281.90	21230.50	21273.00	7832	0	95
2025.01.02	02:15:00	21273.00	21298.00	21264.00	21282.25	5602	0	95
2025.01.02	02:30:00	21282.15	21308.50	21262.00	21298.25	6602	0	95
2025.01.02	02:45:00	21298.25	21313.00	21285.75	21294.50	4377	0	95
2025.01.02	03:00:00	21294.25	21307.50	21287.00	21295.25	3505	0	95
2025.01.02	03:15:00	21294.75	21323.00	21287.50	21320.25	3950	0	95
2025.01.02	03:30:00	21320.50	21330.90	21308.25	21327.15	4006	0	95
2025.01.02	03:45:00	21327.03	21332.28	21314.50	21321.90	5048	0	95
2025.01.02	04:00:00	21321.78	21325.65	21309.78	21313.15	4630	0	95
2025.01.02	04:15:00	21313.25	21338.90	21307.50	21330.15	5183	0	95
2025.01.02	04:30:00	21330.03	21333.40	21303.00	21305.50	4055	0	95
2025.01.02	04:45:00	21305.50	21313.03	21294.15	21306.28	5417	0	95
2025.01.02	05:00:00	21306.15	21317.15	21300.00	21303.15	4752	0	95
2025.01.02	05:15:00	21303.00	21307.00	21287.00	21304.15	4988	0	95
2025.01.02	05:30:00	21304.28	21327.28	21302.65	21325.40	5051	0	95
2025.01.02	05:45:00	21325.50	21334.90	21317.75	21323.75	3826	0	95
2025.01.02	06:00:00	21323.90	21343.65	21319.90	21341.65	5194	0	95
2025.01.02	06:15:00	21341.53	21354.40	21337.15	21349.40	6028	0	95
2025.01.02	06:30:00	21349.25	21364.65	21340.25	21360.90	4740	0	95
2025.01.02	06:45:00	21361.03	21376.28	21360.40	21370.15	3973	0	95
2025.01.02	07:00:00	21370.28	21372.65	21362.25	21367.40	3628	0	95
2025.01.02	07:15:00	21367.53	21381.90	21355.90	21363.40	4529	0	95
2025.01.02	07:30:00	21363.53	21389.03	21360.90	21381.15	4647	0	95
2025.01.02	07:45:00	21381.25	21395.90	21378.75	21388.90	4035	0	95
