Time;Open;High;Low;Close
2025.10.23 09:00;25103.15;25125.17;25101.37;25118.86
2025.10.23 09:15;25118.63;25120.17;25067.67;25085.42
2025.10.23 09:30;25084.87;25100.66;25081.13;25091.87
2025.10.23 09:45;25091.61;25101.42;25084.38;25090.87
2025.10.23 10:00;25090.37;25113.88;25086.66;25094.40
2025.10.23 10:15;25094.17;25101.66;25088.40;25090.12
2025.10.23 10:30;25089.88;25101.42;25084.27;25086.88
2025.10.23 10:45;25087.11;25088.65;25068.61;25083.15
2025.10.23 11:00;25083.11;25090.67;25044.62;25063.90
2025.10.23 11:15;25064.16;25064.16;25029.33;25047.40
2025.10.23 11:30;25047.11;25053.58;25038.38;25041.10
2025.10.23 11:45;25040.87;25061.87;25024.66;25057.11
2025.10.23 12:00;25058.12;25066.15;25054.36;25057.62
2025.10.23 12:15;25057.91;25066.10;25050.37;25054.15
2025.10.23 12:30;25054.40;25062.88;25045.63;25045.88
2025.10.23 12:45;25045.92;25052.16;25034.36;25047.40
2025.10.23 13:00;25047.86;25051.66;24986.90;25000.91
2025.10.23 13:15;25000.92;25018.15;24995.16;25016.16
2025.10.23 13:30;25016.36;25016.91;24983.40;24987.15
2025.10.23 13:45;24987.38;24989.91;24962.11;24972.63
2025.10.23 14:00;24971.36;24972.91;24954.36;24958.66
2025.10.23 14:15;24958.66;24973.41;24939.36;24968.86
2025.10.23 14:30;24968.86;24969.13;24935.92;24962.65
2025.10.23 14:45;24962.16;25010.40;24959.86;25007.91
2025.10.23 15:00;25007.62;25011.87;24941.32;24978.92
2025.10.23 15:15;24977.38;25018.12;24973.37;25016.11
2025.10.23 15:30;25015.13;25089.67;24998.37;25089.40
2025.10.23 15:45;25091.12;25178.86;25090.62;25158.40
2025.10.23 16:00;25162.11;25175.13;25101.67;25135.41
2025.10.23 16:15;25135.66;25163.41;25084.61;25146.12
2025.10.23 16:30;25145.86;25188.92;25133.92;25163.40
2025.10.23 16:45;25163.57;25197.36;25144.88;25189.06
2025.10.23 17:00;25188.91;25192.67;25160.40;25171.63
2025.10.23 17:15;25172.37;25184.17;25140.36;25178.63
2025.10.23 17:30;25178.58;25203.92;25119.37;25127.42
2025.10.23 17:45;25127.62;25215.61;25122.83;25193.31
