direction,entry_price,sl_price,tp_price,time,support_price,reason,exit_price,exit_time,pips,result,capital_before,position_size,pnl,capital_after
long,24860.75,24810.75,25010.75,2025-10-01 00:00:00,24840.99948717949,Stop Loss,24810.75,2025-10-01 02:15:00,-50.0,SL,10000.0,4.0,-200.0,9800.0
long,24883.15,24833.15,25033.15,2025-10-01 16:15:00,24847.76615384616,Take Profit,25033.15,2025-10-01 20:45:00,150.0,TP,9800.0,3.92,588.0,10388.0
long,25132.75,25082.75,25282.75,2025-10-03 02:15:00,25128.6867003367,Stop Loss,25082.75,2025-10-03 16:00:00,-50.0,SL,10388.0,4.1552,-207.76,10180.24
long,25210.03,25160.03,25360.03,2025-10-08 16:00:00,25194.54327645051,Take Profit,25360.03,2025-10-08 22:15:00,150.0,TP,10180.24,4.072096,610.8144,10791.054399999999
long,25215.28,25165.28,25365.28,2025-10-09 19:45:00,25203.49515384615,Take Profit,25365.28,2025-10-10 15:30:00,150.0,TP,10791.054399999999,4.31642176,647.463264,11438.517663999999
long,24935.65,24885.65,25085.65,2025-10-16 03:30:00,24934.77754385966,Take Profit,25085.65,2025-10-16 14:30:00,150.0,TP,11438.517663999999,4.5754070656,686.3110598400001,12124.828723839999
long,24948.15,24898.15,25098.15,2025-10-17 18:15:00,24945.432899628253,Stop Loss,24898.15,2025-10-17 18:45:00,-50.0,SL,12124.828723839999,4.849931489536,-242.4965744768,11882.3321493632
long,24966.28,24916.28,25116.28,2025-10-17 20:00:00,24946.45349442379,Take Profit,25116.28,2025-10-20 06:15:00,150.0,TP,11882.3321493632,4.75293285974528,712.939928961792,12595.272078324992
long,25506.5,25456.5,25656.5,2025-10-24 15:30:00,25505.90282051281,Stop Loss,25456.5,2025-10-24 16:45:00,-50.0,SL,12595.272078324992,5.038108831329996,-251.9054415664998,12343.366636758492
long,25534.28,25484.28,25684.28,2025-10-24 17:15:00,25513.35692307691,Take Profit,25684.28,2025-10-26 23:00:00,150.0,TP,12343.366636758492,4.937346654703397,740.6019982055095,13083.968634964001
long,26283.5,26233.5,26433.5,2025-10-29 20:45:00,26212.208467741937,Stop Loss,26233.5,2025-10-29 21:00:00,-50.0,SL,13083.968634964001,5.2335874539856,-261.67937269928,12822.289262264721
